Price,Distance,Bedroom,Bathroom,CarSpace,Landsize,BuildingArea,YearBuilt,Regionname,Date,Lattitude,Longtitude
2550000,6.8,5,2,2,840,244,1910,Western Metropolitan,19/08/2017,-37.8633,144.88871
2325000,7.4,5,3,2,501,233,2006,Southern Metropolitan,25/02/2017,-37.8631,145.0353
1250000,1.6,3,1,1,113,105,1890,Northern Metropolitan,17/09/2016,-37.7966,144.9821
953000,15,4,2,2,551,150,1997,Northern Metropolitan,15/10/2016,-37.7302,145.0883
2200000,8.4,3,2,2,735,224,1920,Southern Metropolitan,24/02/2018,-37.86652,145.0569
956000,10.1,3,2,1,137,137,1994,Southern Metropolitan,15/07/2017,-37.887,145.07303
825000,13.9,2,2,1,176,125,2008,Southern Metropolitan,03/09/2016,-37.9237,145.0763
1220000,13.8,3,1,2,720,133,1960,Eastern Metropolitan,27/11/2016,-37.7668,145.1086
740000,15.3,3,2,2,545,152,1983,Northern Metropolitan,03/06/2017,-37.68403,144.99246
3250000,9.2,3,4,2,886,520,2013,Southern Metropolitan,06/08/2016,-37.804,145.0951
960500,20,3,2,2,535,132,1985,South-Eastern Metropolitan,03/09/2017,-37.98329,145.0918
1090000,16.7,5,2,2,698,246,1978,South-Eastern Metropolitan,15/07/2017,-37.8921,145.19118
2220000,5.7,4,2,3,580,184,1930,Northern Metropolitan,03/06/2017,-37.77227,145.0284
1330000,6.6,3,3,2,168,187,2012,Western Metropolitan,07/11/2016,-37.8066,144.887
765000,11,3,2,2,200,139,2007,Western Metropolitan,17/06/2017,-37.86837,144.81502
1400000,14.2,3,1,2,724,139,1960,Eastern Metropolitan,17/03/2018,-37.86824,145.128
2060000,10.3,3,1,3,685,175,1950,Southern Metropolitan,26/08/2017,-37.92364,145.01118
2300000,4,4,2,1,416,241,1915,Northern Metropolitan,24/02/2018,-37.77766,144.97604
760000,9.7,2,1,1,121,100,1960,Southern Metropolitan,10/12/2016,-37.8112,145.0881
619000,19.6,3,1,2,124,120,1970,Northern Metropolitan,09/12/2017,-37.65986,145.03278
550000,18,3,2,1,474,159,1995,Western Metropolitan,17/03/2018,-37.68944,144.74707
780000,15.5,4,2,2,997,297,2000,Western Metropolitan,14/10/2017,-37.69221,144.78209
1535000,20,4,2,2,604,192,1940,South-Eastern Metropolitan,17/03/2018,-37.97575,145.0575
410000,16.5,3,1,2,542,107,1970,Northern Metropolitan,08/07/2017,-37.66948,144.90385
480000,20.6,4,2,2,312,148,2015,Northern Metropolitan,19/08/2017,-37.56857,144.91694
1120000,13.7,4,2,3,373,113,1984,Southern Metropolitan,07/05/2016,-37.9395,145.0088
773000,14.5,3,2,2,650,150,1980,Western Metropolitan,29/04/2017,-37.724,144.8514
452000,14.7,3,1,3,567,121,1980,Western Metropolitan,22/07/2017,-37.88666,144.66149
875000,8.8,4,1,2,400,147,1940,Northern Metropolitan,27/06/2016,-37.7371,145.0111
2450000,3.5,4,3,2,210,210,2010,Southern Metropolitan,01/07/2017,-37.83933,144.93771
570000,19.6,3,1,2,583,106,1980,Northern Metropolitan,07/10/2017,-37.64198,145.03041
1045000,2.6,2,1,1,138,81,1890,Northern Metropolitan,18/06/2016,-37.8218,145.0132
552000,19.6,3,1,1,566,98,1990,Northern Metropolitan,09/12/2017,-37.64692,145.05217
1030000,10.6,5,3,2,649,357,2017,Eastern Metropolitan,30/07/2016,-37.7501,145.0822
700000,8,3,1,1,227,120,2005,Western Metropolitan,22/04/2017,-37.7496,144.892
1180000,5.9,3,2,2,617,149,1930,Western Metropolitan,17/09/2016,-37.7742,144.906
1800000,4.3,4,3,2,561,241,1950,Western Metropolitan,09/12/2017,-37.77274,144.90328
1010000,13.8,3,2,2,751,175,1968,Eastern Metropolitan,16/04/2016,-37.77,145.1025
860000,8.2,3,1,2,501,147,1960,Western Metropolitan,26/07/2016,-37.7912,144.868
1375000,12.4,4,2,1,662,240,1950,Eastern Metropolitan,27/05/2017,-37.75763,145.09974
735000,28.8,4,2,2,846,160,1980,Eastern Victoria,08/07/2017,-37.81018,145.35396
550000,4.5,2,1,1,72,69,1976,Southern Metropolitan,13/05/2017,-37.8542,145.0024
1900000,10.5,3,2,2,386,118,1953,Southern Metropolitan,06/01/2018,-37.92276,144.99957
1055000,3.5,2,1,0,192,85.2,1910,Northern Metropolitan,29/04/2017,-37.7793,144.9879
705000,10.6,2,1,1,182,110,1973,Eastern Metropolitan,06/08/2016,-37.7587,145.0657
1100000,11.2,3,1,2,645,126,1960,Southern Metropolitan,24/09/2016,-37.875,145.0861
1900000,10.1,4,2,2,617,207,1950,Southern Metropolitan,17/03/2018,-37.89042,145.04058
430000,14.7,3,1,0,542,110,1980,Western Metropolitan,25/11/2017,-37.8814,144.6621
473000,18.4,3,2,1,392,108,2000,Western Metropolitan,17/03/2018,-37.85095,144.67452
2800000,10.3,4,3,2,692,335,2012,Southern Metropolitan,18/11/2017,-37.9178,145.0139
775000,6.4,2,1,2,277,87,1890,Western Metropolitan,08/10/2016,-37.7901,144.8883
1840000,10.1,3,2,1,483,171,1920,Southern Metropolitan,15/07/2017,-37.89204,145.06086
1335000,7.5,2,1,0,229,70,1900,Southern Metropolitan,17/09/2016,-37.8265,145.0484
851000,24.8,4,2,2,722,170,1970,Eastern Metropolitan,17/03/2018,-37.87574,145.26685
1410000,14.7,4,2,4,590,161,1950,South-Eastern Metropolitan,13/05/2017,-37.9316,145.0821
850000,25.5,4,3,2,612,256,2015,Northern Metropolitan,03/03/2018,-37.61426,145.01891
650000,10.4,2,1,3,374,96,1950,Western Metropolitan,27/05/2017,-37.71811,144.87693
651000,15.3,3,1,2,555,135,1970,Northern Metropolitan,24/06/2017,-37.68211,145.03204
830000,6.7,3,2,2,275,142,2008,Northern Metropolitan,29/07/2017,-37.73156,144.97087
1460000,9.7,4,2,2,433,185,1955,Southern Metropolitan,12/08/2017,-37.78368,145.09545
826000,21.1,3,2,0,830,135,1975,Eastern Metropolitan,15/07/2017,-37.75079,145.20617
560000,12.8,3,1,2,352,102,2000,Western Metropolitan,14/05/2016,-37.7459,144.8673
1960000,3.5,3,2,0,253,230,1900,Southern Metropolitan,16/09/2017,-37.836,144.93701
765000,4.2,2,1,2,158,76,1965,Northern Metropolitan,10/12/2016,-37.7902,144.9319
1700000,7.5,5,3,2,431,203,1920,Southern Metropolitan,06/08/2016,-37.825,145.0536
810000,18,3,2,2,868,135,1980,Eastern Metropolitan,19/08/2017,-37.70659,145.16345
720000,8.9,3,2,2,146,141,2001,Western Metropolitan,13/05/2017,-37.857,144.8846
676000,8.5,3,2,2,122,108,2012,Northern Metropolitan,03/09/2017,-37.72304,144.92864
877500,17.5,4,2,3,598,154,1970,South-Eastern Metropolitan,07/10/2017,-37.95962,145.13565
825000,16.1,3,2,2,641,154,1977,Eastern Metropolitan,06/01/2018,-37.70318,145.11929
1116500,16.7,5,2,2,701,182.85,1960,Eastern Metropolitan,15/07/2017,-37.88902,145.16678
310000,20.6,2,1,1,38,114,2013,Northern Metropolitan,15/07/2017,-37.57467,144.92229
830000,11.2,3,1,2,655,110,1960,Northern Metropolitan,03/09/2017,-37.70608,144.92541
985000,9.9,4,2,2,511,182,2007,Northern Metropolitan,25/02/2017,-37.7268,144.9401
600000,5.1,2,1,1,1452,96,1970,Southern Metropolitan,24/09/2016,-37.8554,145.0018
1283000,4.5,2,1,1,263,109,1910,Northern Metropolitan,13/05/2017,-37.7661,144.9742
